sample_id,latitude,longitude,spatial_block_id,landslide_label
sample_47,24.9356,93.8443,block_49_187,1
sample_48,26.5836,93.0038,block_53_186,1
sample_49,25.0477,92.801,block_50_185,1
sample_50,24.7543,93.5039,block_49_187,1
sample_51,22.7176,92.8416,block_45_185,1
sample_52,25.907233,91.881892,block_51_183,1
sample_53,23.73354779,92.74744512,block_47_185,1
sample_54,27.04768643,93.61899644,block_54_187,1
sample_55,25.5728,91.885,block_51_183,1
sample_56,25.9703,91.8584,block_51_183,1
sample_57,27.3702,88.7334,block_54_177,1
sample_58,25.3098633,94.48214677,block_50_188,1
sample_59,24.2315,92.6755,block_48_185,1
sample_60,25.83762589,93.94633448,block_51_187,1
sample_61,23.7131,92.7362,block_47_185,1
sample_62,23.73478778,92.72124394,block_47_185,1
sample_63,26.1771,91.7599,block_52_183,1
sample_64,26.1699,94.4922,block_52_188,1
sample_65,24.1293,92.6921,block_48_185,1
sample_66,26.2363,94.8133,block_52_189,1
sample_67,25.7428,93.9136,block_51_187,1
sample_68,23.0137,91.7174,block_46_183,1
sample_69,25.82601444,91.87113067,block_51_183,1
sample_70,27.0844941,93.60505989,block_54_187,1
sample_71,27.092916,93.61882043,block_54_187,1
sample_72,27.2319,88.497,block_54_176,1
sample_73,24.9336,93.8275,block_49_187,1
sample_74,27.1141,88.4658,block_54_176,1
sample_75,25.8877,94.7861,block_51_189,1
sample_76,25.5718,94.1211,block_51_188,1
sample_77,24.416,94.0984,block_48_188,1
sample_78,23.3439,93.0748,block_46_186,1
sample_79,25.682,94.1076,block_51_188,1
sample_80,28.9986,94.8885,block_57_189,1
sample_81,23.7705,92.5217,block_47_185,1
sample_82,26.1498,94.6055,block_52_189,1
sample_83,23.591,92.9296,block_47_185,1
sample_84,27.3383,88.6069,block_54_177,1
sample_85,27.6438,93.871,block_55_187,1
sample_86,26.149,91.7351,block_52_183,1
sample_87,25.48,94.1383,block_50_188,1
sample_88,28.1193,95.1645,block_56_190,1
sample_89,24.808,93.117,block_49_186,1
sample_90,25.5114,90.215,block_51_180,1
sample_91,25.5006,90.0896,block_51_180,1
sample_92,25.3908,94.0926,block_50_188,1
sample_93,26.222,94.9152,block_52_189,1
sample_94,23.74182634,92.7141905,block_47_185,1
sample_95,27.36,93.0385,block_54_186,1
sample_96,27.3543,88.6428,block_54_177,1
sample_97,24.4265,94.1913,block_48_188,1
sample_98,23.9278,94.0906,block_47_188,1
sample_99,25.3056,93.1265,block_50_186,1
sample_100,26.1314,91.7548,block_52_183,1
sample_101,25.1796,93.0083,block_50_186,1
sample_102,27.2676,88.2891,block_54_176,1
sample_103,24.7016,93.5291,block_49_187,1
sample_104,25.0633,92.8025,block_50_185,1
sample_105,25.705,94.04,block_51_188,1
sample_106,25.52,91.27,block_51_182,1
sample_107,27.1667,88.35,block_54_176,1
sample_108,27.6047,88.6463,block_55_177,1
sample_109,27.3034,93.804,block_54_187,1
sample_110,26.324724,94.514651,block_52_189,1
sample_111,27.13862165,88.22551799,block_54_176,1
sample_112,24.1988,94.1016,block_48_188,1
sample_113,27.5748,91.8644,block_55_183,1
sample_114,26.1028,91.8806,block_52_183,1
sample_115,26.0838,94.564,block_52_189,1
sample_116,27.82743132,93.62407259,block_55_187,1
sample_117,25.69111465,94.09483333,block_51_188,1
sample_118,23.40991836,93.36421745,block_46_186,1
sample_119,23.725943,92.7178,block_47_185,1
sample_120,25.73111942,93.98827528,block_51_187,1
sample_121,27.125,93.7145,block_54_187,1
sample_122,28.8254,96.1517,block_57_192,1
sample_123,26.1001,91.6849,block_52_183,1
sample_124,27.583849,91.876945,block_55_183,1
sample_125,25.132228,93.04681,block_50_186,1
sample_126,24.0135808,92.67420963,block_48_185,1
sample_127,25.73318099,93.99655231,block_51_187,1
sample_128,26.66354481,94.62220277,block_53_189,1
sample_129,26.138,94.25,block_52_188,1
sample_130,25.1416,92.3807,block_50_184,1
sample_131,27.0136,92.6351,block_54_185,1
sample_132,26.1044,91.7082,block_52_183,1
sample_133,25.5098,93.8794,block_51_187,1
sample_134,24.6596,93.9784,block_49_187,1
sample_135,27.0998,93.6287,block_54_187,1
sample_136,27.5799,91.8569,block_55_183,1
sample_137,27.5754,91.9754,block_55_183,1
sample_138,27.8997,93.3497,block_55_186,1
sample_139,26.1984,94.8158,block_52_189,1
sample_140,25.6633,94.4703,block_51_188,1
sample_141,26.159,91.8178,block_52_183,1
sample_142,26.10973183,91.80317334,block_52_183,1
sample_143,27.322,88.6087,block_54_177,1
sample_144,26.9986,95.4993,block_53_190,1
sample_145,24.3481,94.1146,block_48_188,1
sample_146,25.3612,92.2845,block_50_184,1
sample_147,25.4993,94.1192,block_50_188,1
sample_148,24.9667,93.55,block_49_187,1
sample_149,25.1941,94.4481,block_50_188,1
sample_150,25.83,94.13,block_51_188,1
sample_151,24.7992,93.948,block_49_187,1
sample_152,25.8143,90.5763,block_51_181,1
sample_153,27.98531715,94.21263589,block_55_188,1
sample_154,25.06657276,93.9310888,block_50_187,1
sample_155,27.1761,88.5287,block_54_177,1
sample_156,24.9829,93.5063,block_49_187,1
sample_157,25.5125,93.3613,block_51_186,1
sample_158,27.5161,88.5575,block_55_177,1
sample_159,24.9925,93.5,block_49_187,1
sample_160,23.8986,91.7599,block_47_183,1
sample_161,23.79260297,91.53090192,block_47_183,1
sample_162,25.7713,93.8067,block_51_187,1
sample_163,26.1961,91.7825,block_52_183,1
sample_164,25.1604,93.6795,block_50_187,1
sample_165,28.4298,95.8776,block_56_191,1
sample_166,25.4196,94.1054,block_50_188,1
sample_167,24.6005,92.3814,block_49_184,1
sample_168,24.9849,92.8411,block_49_185,1
sample_169,25.6263,94.1057,block_51_188,1
sample_170,23.8447,93.0514,block_47_186,1
sample_171,26.3185,94.5247,block_52_189,1
sample_172,27.174,95.8011,block_54_191,1
sample_173,26.284,94.5808,block_52_189,1
sample_174,27.6163,88.6586,block_55_177,1
sample_175,27.2298,94.0989,block_54_188,1
sample_176,22.479,92.967,block_44_185,1
sample_177,28.3092,95.4149,block_56_190,1
sample_178,27.9032,96.174,block_55_192,1
sample_179,27.4,92.35,block_54_184,1
sample_180,25.3833,94.1884,block_50_188,1
sample_181,25.1019,93.3729,block_50_186,1
sample_182,27.1499,88.38,block_54_176,1
sample_183,25.1333,93.9667,block_50_187,1
sample_184,25.7131,94.0885,block_51_188,1
sample_185,26.22247247,91.92053028,block_52_183,1
sample_186,24.32420539,93.15020652,block_48_186,1
sample_187,28.1737,94.7596,block_56_189,1
sample_188,27.3425,88.6236,block_54_177,1
sample_189,24.9818,93.5142,block_49_187,1
sample_190,27.8385,88.556,block_55_177,1
sample_191,25.616,94.1167,block_51_188,1
sample_192,26.1768,91.7702,block_52_183,1
sample_193,27.05880384,93.54136779,block_54_187,1
sample_194,27.769793,93.50995626,block_55_187,1
sample_195,26.14547804,91.79364785,block_52_183,1
sample_196,25.5215,93.1645,block_51_186,1
sample_197,27.8965,96.1779,block_55_192,1
sample_198,28.0791,96.5242,block_56_193,1
sample_199,24.8961,93.4957,block_49_186,1
sample_200,25.03561729,94.0144205,block_50_188,1
sample_201,23.899,94.1434,block_47_188,1
sample_202,27.61790706,93.84196894,block_55_187,1
sample_203,26.1662,91.7138,block_52_183,1
sample_204,26.1985,91.7998,block_52_183,1
sample_205,27.303999,92.407813,block_54_184,1
sample_206,25.4976444,94.12901274,block_50_188,1
sample_207,27.593,88.492,block_55_176,1
sample_208,24.21988831,93.20266204,block_48_186,1
sample_209,24.30415689,93.18182448,block_48_186,1
sample_210,27.3746,88.7648,block_54_177,1
sample_211,22.90813548,92.47207294,block_45_184,1
sample_212,25.43807422,91.79904872,block_50_183,1
sample_213,24.981195,94.018619,block_49_188,1
sample_214,25.533595,94.133345,block_51_188,1
sample_215,27.14163897,93.66495709,block_54_187,1
sample_216,26.3186,94.5121,block_52_189,1
sample_217,25.08303063,94.23757741,block_50_188,1
sample_218,26.95223279,93.85748748,block_53_187,1
sample_219,26.2632687,94.81481951,block_52_189,1
sample_220,27.6802471,93.62592773,block_55_187,1
sample_221,25.72,94.6219,block_51_189,1
sample_222,26.1964,91.7652,block_52_183,1
sample_223,23.6866,93.017,block_47_186,1
sample_224,25.5576,91.8506,block_51_183,1
sample_225,25.5498,92.0757,block_51_184,1
sample_226,27.3425,88.2426,block_54_176,1
sample_227,26.1868,91.6739,block_52_183,1
sample_228,25.0634,94.3415,block_50_188,1
sample_229,24.837,93.9128,block_49_187,1
sample_230,24.4072,94.0644,block_48_188,1
sample_231,25.5212,90.232,block_51_180,1
sample_232,27.1071241,93.65156438,block_54_187,1
sample_233,23.33501164,92.85410625,block_46_185,1
sample_234,27.2872,88.2816,block_54_176,1
sample_235,25.195355,93.172758,block_50_186,1
sample_236,24.27173018,93.28039349,block_48_186,1
sample_237,27.05957271,93.50102778,block_54_187,1
sample_238,25.72019272,94.03225673,block_51_188,1
sample_239,25.77171292,93.93507183,block_51_187,1
sample_240,27.07671517,93.59755441,block_54_187,1
sample_241,25.06466676,94.27420555,block_50_188,1
sample_242,23.73672831,92.7516868,block_47_185,1
sample_243,25.4379,94.1162,block_50_188,1
sample_244,25.63961883,94.11112157,block_51_188,1
sample_245,24.004,93.9815,block_48_187,1
sample_246,25.8782,94.1739,block_51_188,1
sample_247,26.048,91.8695,block_52_183,1
sample_248,25.3433,92.2897,block_50_184,1
sample_249,23.5397,93.3783,block_47_186,1
sample_250,27.7344,88.633,block_55_177,1
sample_251,25.5145,90.2023,block_51_180,1
sample_252,27.2879,88.2579,block_54_176,1
sample_253,26.8716,94.9921,block_53_189,1
sample_254,27.0011,93.7273,block_54_187,1
sample_255,25.203,90.5573,block_50_181,1
sample_256,23.75406693,92.74128531,block_47_185,1
sample_257,26.0137,94.5163,block_52_189,1
sample_258,28.3036,95.4112,block_56_190,1
sample_259,27.3392,88.6188,block_54_177,1
sample_260,26.88161,95.399897,block_53_190,1
sample_261,27.01145644,92.64204045,block_54_185,1
sample_262,24.75,93.4333,block_49_186,1
sample_263,27.1614,93.7525,block_54_187,1
sample_264,25.7238,89.9032,block_51_179,1
sample_265,26.3897,94.9439,block_52_189,1
sample_266,24.042,92.6724,block_48_185,1
sample_267,26.49349035,91.72137514,block_52_183,1
sample_268,25.6703,94.1095,block_51_188,1
sample_269,27.7,92.8,block_55_185,1
sample_270,24.9786,93.5027,block_49_187,1
sample_271,25.583,91.893,block_51_183,1
sample_272,22.148327,92.80921064,block_44_185,1
sample_273,24.9037,93.487,block_49_186,1
sample_274,25.7902,94.1318,block_51_188,1
sample_275,26.4205,94.9731,block_52_189,1
sample_276,26.1407,91.7645,block_52_183,1
sample_277,24.9111,94.4759,block_49_188,1
sample_278,27.8835,96.9262,block_55_193,1
sample_279,23.4495,92.8112,block_46_185,1
sample_280,25.6269,94.1139,block_51_188,1
sample_281,24.7625,93.4341,block_49_186,1
sample_282,26.0319,94.5466,block_52_189,1
sample_283,26.1677,94.2442,block_52_188,1
sample_284,28.4659,95.86,block_56_191,1
sample_285,27.8776,94.25,block_55_188,1
sample_286,24.7459,93.4251,block_49_186,1
sample_287,23.72988966,92.71495623,block_47_185,1
sample_288,23.7269,92.7265,block_47_185,1
sample_289,26.8727,94.9275,block_53_189,1
sample_290,27.7167,88.5577,block_55_177,1
sample_291,27.5523,91.752,block_55_183,1
sample_292,25.9466,94.6279,block_51_189,1
sample_293,25.2269,93.1658,block_50_186,1
sample_294,26.1468,91.6469,block_52_183,1
sample_295,26.1016,91.6906,block_52_183,1
sample_296,27.4885,88.4451,block_54_176,1
sample_297,24.82767572,93.51825,block_49_187,1
sample_298,25.61919207,92.7094701,block_51_185,1
sample_299,26.181606,91.772042,block_52_183,1
sample_300,23.86469956,91.8949662,block_47_183,1
sample_301,25.5242,92.9914,block_51_185,1
sample_302,24.6869,93.9157,block_49_187,1
sample_303,26.0977,94.7499,block_52_189,1
sample_304,26.10430759,91.86227824,block_52_183,1
sample_305,27.97875751,94.26296826,block_55_188,1
sample_306,25.11956675,94.36416626,block_50_188,1
sample_307,26.1833,91.8,block_52_183,1
sample_308,26.2753,94.6654,block_52_189,1
sample_309,28.235,94.9612,block_56_189,1
sample_310,26.1147,94.3864,block_52_188,1
sample_311,25.26049558,94.01914123,block_50_188,1
sample_312,25.5007,93.9854,block_51_187,1
sample_313,25.5772,91.8666,block_51_183,1
sample_314,23.7527,92.694,block_47_185,1
sample_315,23.9939,94.0573,block_47_188,1
sample_316,24.8628,94.4182,block_49_188,1
sample_317,27.44,92.2833,block_54_184,1
sample_318,23.73504471,92.71060943,block_47_185,1
sample_319,25.2193,90.5549,block_50_181,1
sample_320,27.4888,93.0153,block_54_186,1
sample_321,27.3773,88.559,block_54_177,1
sample_322,24.7339,93.9161,block_49_187,1
sample_323,26.0214,94.5224,block_52_189,1
sample_324,25.1122,94.3591,block_50_188,1
sample_325,25.181453,93.118105,block_50_186,1
sample_326,27.2743,92.9064,block_54_185,1
sample_327,24.8142,93.5444,block_49_187,1
sample_328,25.70223725,94.04619681,block_51_188,1
sample_329,24.4279,94.0564,block_48_188,1
sample_330,23.83291945,92.63125938,block_47_185,1
sample_331,25.03190213,92.42257695,block_50_184,1
sample_332,25.0728,92.3636,block_50_184,1
sample_333,26.1062,91.8717,block_52_183,1
sample_334,26.1295,91.7056,block_52_183,1
sample_335,26.1807,94.5497,block_52_189,1
sample_336,24.5308,92.5121,block_49_185,1
sample_337,25.4749,93.1477,block_50_186,1
sample_338,26.1097,91.7747,block_52_183,1
sample_339,28.10756941,94.18315697,block_56_188,1
sample_340,24.79591421,93.72386429,block_49_187,1
sample_341,24.83507319,93.89896294,block_49_187,1
sample_342,26.0977,94.7031,block_52_189,1
sample_343,27.1748,88.6458,block_54_177,1
sample_344,26.191688,91.810079,block_52_183,1
sample_345,26.16066111,91.85294885,block_52_183,1
sample_346,27.20938411,93.61539279,block_54_187,1
sample_347,27.11610665,93.79559574,block_54_187,1
sample_348,25.67836832,91.9234343,block_51_183,1
sample_349,24.8029,93.6228,block_49_187,1
sample_350,24.86388954,93.62191829,block_49_187,1
sample_351,25.51614662,94.2341227,block_51_188,1
sample_352,25.2568,92.3825,block_50_184,1
sample_353,28.0822,96.5316,block_56_193,1
sample_354,26.1963,91.8074,block_52_183,1
sample_355,25.14429782,93.97198129,block_50_187,1
sample_356,27.478,88.527,block_54_177,1
sample_357,26.1445447,94.24416766,block_52_188,1
sample_358,26.20450454,91.87202793,block_52_183,1
sample_359,26.092493,94.257523,block_52_188,1
sample_360,26.11613908,94.24222574,block_52_188,1
sample_361,23.69461107,92.87641207,block_47_185,1
sample_362,24.19467451,91.82931979,block_48_183,1
sample_363,25.1175,92.8573,block_50_185,1
sample_364,24.8286,93.5935,block_49_187,1
sample_365,26.0481,94.4619,block_52_188,1
sample_366,26.19037705,91.77306002,block_52_183,1
sample_367,24.3069,93.125,block_48_186,1
sample_368,25.481623,93.141692,block_50_186,1
sample_369,26.56636244,93.13195098,block_53_186,1
sample_370,26.1226,91.7162,block_52_183,1
sample_371,27.1034,93.6885,block_54_187,1
sample_372,25.0118,94.3136,block_50_188,1
sample_373,25.67061161,94.11844319,block_51_188,1
sample_374,25.1553,93.028,block_50_186,1
sample_375,28.9205,95.3429,block_57_190,1
sample_376,25.51826286,91.9630294,block_51_183,1
sample_377,24.938948,93.496837,block_49_186,1
sample_378,25.9611,91.3681,block_51_182,1
sample_379,27.201,88.4883,block_54_176,1
sample_380,29.2409,95.9761,block_58_191,1
sample_381,26.3333,91.25,block_52_182,1
sample_382,27.1954,88.6115,block_54_177,1
sample_383,27.163,94.0,block_54_188,1
sample_384,26.1619,91.7697,block_52_183,1
sample_385,25.6320357,94.10065403,block_51_188,1
sample_386,24.37169581,93.70684171,block_48_187,1
sample_387,24.98793655,93.49870413,block_49_186,1
sample_388,22.87370331,92.7581259,block_45_185,1
sample_389,25.463,92.2121,block_50_184,1
sample_390,25.5265,93.8673,block_51_187,1
sample_391,27.6558,88.605,block_55_177,1
sample_392,25.7658,93.9413,block_51_187,1
sample_393,26.1061808,91.85158907,block_52_183,1
sample_394,24.2451,94.0691,block_48_188,1
sample_395,27.360364,88.651914,block_54_177,1
sample_396,25.82860033,91.876717,block_51_183,1
sample_397,24.02515388,91.49747518,block_48_182,1
sample_398,27.1249,93.7706,block_54_187,1
sample_399,25.0672,93.4093,block_50_186,1
sample_400,25.4477,94.0489,block_50_188,1
sample_401,25.4538,93.9827,block_50_187,1
sample_402,25.658708,94.098536,block_51_188,1
sample_403,25.55544,93.63981,block_51_187,1
sample_404,27.8837,93.0515,block_55_186,1
sample_405,24.819,94.3551,block_49_188,1
sample_406,27.7565,88.632,block_55_177,1
sample_407,26.148,94.8422,block_52_189,1
sample_408,25.7055,94.0132,block_51_188,1
sample_409,25.0888,92.8551,block_50_185,1
sample_410,25.5084,90.2191,block_51_180,1
sample_411,26.1324,91.8342,block_52_183,1
sample_412,25.8702,94.7844,block_51_189,1
sample_413,24.7979,92.9974,block_49_185,1
sample_414,25.426,94.6024,block_50_189,1
sample_415,25.0318,92.4584,block_50_184,1
sample_416,26.1049,91.7369,block_52_183,1
sample_417,25.1555,93.8474,block_50_187,1
sample_418,25.2745,94.0212,block_50_188,1
sample_419,25.0951,92.3567,block_50_184,1
sample_420,24.8063,93.9482,block_49_187,1
sample_421,25.8266,94.1497,block_51_188,1
sample_422,25.16,93.686,block_50_187,1
sample_423,25.4786,94.1327,block_50_188,1
sample_424,28.611,94.9829,block_57_189,1
sample_425,24.954,94.2156,block_49_188,1
sample_426,25.7354,90.3852,block_51_180,1
sample_427,24.768609,92.821182,block_49_185,1
sample_428,27.3721,88.708,block_54_177,1
sample_429,24.95178179,94.20340026,block_49_188,1
sample_430,27.4459,88.6193,block_54_177,1
sample_431,25.38,91.88,block_50_183,1
sample_432,26.1548,91.7351,block_52_183,1
sample_433,24.1419,94.1078,block_48_188,1
sample_434,25.2946,92.8339,block_50_185,1
sample_435,26.2083,94.5438,block_52_189,1
sample_436,26.7103,94.693,block_53_189,1
sample_437,25.23908,90.63944,block_50_181,1
sample_438,25.39466,90.69083,block_50_181,1
sample_439,25.512611,90.658611,block_51_181,1
sample_440,25.50781,90.68,block_51_181,1
sample_441,25.5014,90.68972,block_51_181,1
sample_442,25.56,90.37,block_51_180,1
sample_443,25.56,90.34,block_51_180,1
sample_444,25.55,90.33,block_51_180,1
sample_445,25.51,90.21,block_51_180,1
sample_446,25.5,90.21,block_51_180,1
sample_447,25.5,90.22,block_51_180,1
sample_448,25.25419,90.21486,block_50_180,1
sample_449,25.53,89.98,block_51_179,1
sample_450,25.57,89.98,block_51_179,1
sample_451,25.58,89.99,block_51_179,1
sample_452,25.6,90.03,block_51_180,1
sample_453,25.67,90.18,block_51_180,1
sample_454,25.6,90.29,block_51_180,1
sample_455,25.61,90.29,block_51_180,1
sample_456,25.61,90.3,block_51_180,1
sample_457,25.61,90.31,block_51_180,1
sample_458,25.62,90.33,block_51_180,1
sample_459,25.63,90.33,block_51_180,1
sample_460,25.65,90.38,block_51_180,1
sample_461,25.79,90.44,block_51_180,1
sample_462,26.006,90.595,block_52_181,1
sample_463,26.061,90.605,block_52_181,1
sample_464,26.3848,90.5943,block_52_181,1
sample_465,26.3733,90.5499,block_52_181,1
sample_466,26.394,90.48,block_52_180,1
sample_467,26.198,90.298,block_52_180,1
sample_468,27.749111,88.542972,block_55_177,1
sample_469,27.740944,88.545361,block_55_177,1
sample_470,27.735278,88.54925,block_55_177,1
sample_471,27.726083,88.54975,block_55_177,1
sample_472,27.704306,88.560694,block_55_177,1
sample_473,27.662444,88.602556,block_55_177,1
sample_474,27.676722,88.597194,block_55_177,1
sample_475,27.697139,88.57025,block_55_177,1
sample_476,27.700444,88.566083,block_55_177,1
sample_477,27.641139,88.612,block_55_177,1
sample_478,27.637167,88.712028,block_55_177,1
sample_479,27.675778,88.733417,block_55_177,1
sample_480,27.686389,88.73875,block_55_177,1
sample_481,27.6295,88.692778,block_55_177,1
sample_482,27.628083,88.685306,block_55_177,1
sample_483,27.611333,88.655222,block_55_177,1
sample_484,27.629944,88.619833,block_55_177,1
sample_485,27.619722,88.618861,block_55_177,1
sample_486,27.61775,88.623639,block_55_177,1
sample_487,27.575444,88.651417,block_55_177,1
sample_488,27.554889,88.654444,block_55_177,1
sample_489,27.545694,88.636,block_55_177,1
sample_490,27.548417,88.641944,block_55_177,1
sample_491,27.5435,88.628306,block_55_177,1
sample_492,27.552861,88.622306,block_55_177,1
sample_493,27.547111,88.602667,block_55_177,1
sample_494,27.535056,88.610194,block_55_177,1
sample_495,27.553583,88.577194,block_55_177,1
sample_496,27.549194,88.583556,block_55_177,1
sample_497,27.54375,88.58475,block_55_177,1
sample_498,27.535333,88.497972,block_55_176,1
sample_499,27.517306,88.542889,block_55_177,1
sample_500,27.502,88.5375,block_55_177,1
sample_501,27.48603,88.53269,block_54_177,1
sample_502,27.5091,88.53848,block_55_177,1
sample_503,27.438389,88.514389,block_54_177,1
sample_504,27.433083,88.514528,block_54_177,1
sample_505,27.438778,88.527444,block_54_177,1
sample_506,27.448306,88.519667,block_54_177,1
sample_507,27.461694,88.523472,block_54_177,1
sample_508,27.482583,88.52875,block_54_177,1
sample_509,27.437889,88.601694,block_54_177,1
sample_510,27.514972,88.565472,block_55_177,1
sample_511,27.516444,88.587361,block_55_177,1
sample_512,27.527333,88.590778,block_55_177,1
sample_513,27.529639,88.598139,block_55_177,1
sample_514,27.527194,88.603222,block_55_177,1
sample_515,27.531667,88.606333,block_55_177,1
sample_516,27.437444,88.613972,block_54_177,1
sample_517,27.429556,88.611667,block_54_177,1
sample_518,27.417444,88.621083,block_54_177,1
sample_519,27.418472,88.616083,block_54_177,1
sample_520,27.412111,88.627083,block_54_177,1
sample_521,27.394,88.62525,block_54_177,1
sample_522,27.398083,88.614583,block_54_177,1
sample_523,27.383806,88.633083,block_54_177,1
sample_524,27.384444,88.639611,block_54_177,1
sample_525,27.393056,88.635278,block_54_177,1
sample_526,27.365056,88.655167,block_54_177,1
sample_527,27.340917,88.628389,block_54_177,1
sample_528,27.376306,88.629583,block_54_177,1
sample_529,27.372333,88.617556,block_54_177,1
sample_530,27.348722,88.600556,block_54_177,1
sample_531,27.426361,88.583028,block_54_177,1
sample_532,27.40825,88.571167,block_54_177,1
sample_533,27.4097,88.54371,block_54_177,1
sample_534,27.397083,88.519167,block_54_177,1
sample_535,27.426,88.514,block_54_177,1
sample_536,27.420028,88.515944,block_54_177,1
sample_537,27.411306,88.516611,block_54_177,1
sample_538,27.330778,88.49225,block_54_176,1
sample_539,27.375194,88.54275,block_54_177,1
sample_540,27.315028,88.558611,block_54_177,1
sample_541,27.28408,88.54611,block_54_177,1
sample_542,27.315083,88.506056,block_54_177,1
sample_543,27.240861,88.486278,block_54_176,1
sample_544,27.240556,88.48025,block_54_176,1
sample_545,27.23575,88.506472,block_54_177,1
sample_546,27.23772,88.51384,block_54_177,1
sample_547,27.250556,88.53325,block_54_177,1
sample_548,27.245028,88.524389,block_54_177,1
sample_549,27.265944,88.534556,block_54_177,1
sample_550,27.254778,88.542444,block_54_177,1
sample_551,27.259694,88.550417,block_54_177,1
sample_552,27.262583,88.562389,block_54_177,1
sample_553,27.237694,88.598806,block_54_177,1
sample_554,27.24144,88.60681,block_54_177,1
sample_555,27.315833,88.606667,block_54_177,1
sample_556,27.292944,88.589417,block_54_177,1
sample_557,27.282444,88.598917,block_54_177,1
sample_558,27.329472,88.648917,block_54_177,1
sample_559,27.293556,88.642056,block_54_177,1
sample_560,27.246194,88.625694,block_54_177,1
sample_561,27.22975,88.619361,block_54_177,1
sample_562,27.233417,88.634806,block_54_177,1
sample_563,27.235917,88.645167,block_54_177,1
sample_564,27.250972,88.659833,block_54_177,1
sample_565,27.257083,88.65975,block_54_177,1
sample_566,27.257083,88.696583,block_54_177,1
sample_567,27.252667,88.694194,block_54_177,1
sample_568,27.250889,88.715444,block_54_177,1
sample_569,27.25475,88.711,block_54_177,1
sample_570,27.259833,88.711722,block_54_177,1
sample_571,27.258222,88.704778,block_54_177,1
sample_572,27.378667,88.699611,block_54_177,1
sample_573,27.372278,88.688944,block_54_177,1
sample_574,27.370861,88.683167,block_54_177,1
sample_575,27.370278,88.673611,block_54_177,1
sample_576,27.381306,88.690444,block_54_177,1
sample_577,27.383361,88.702611,block_54_177,1
sample_578,27.372806,88.739139,block_54_177,1
sample_579,27.375028,88.728278,block_54_177,1
sample_580,27.380806,88.726,block_54_177,1
sample_581,27.373472,88.721944,block_54_177,1
sample_582,27.369333,88.714917,block_54_177,1
sample_583,27.367111,88.776028,block_54_177,1
sample_584,27.364583,88.787333,block_54_177,1
sample_585,27.368917,88.794611,block_54_177,1
sample_586,27.37475,88.782889,block_54_177,1
sample_587,27.378306,88.770083,block_54_177,1
sample_588,27.38375,88.808694,block_54_177,1
sample_589,27.361583,88.839306,block_54_177,1
sample_590,27.364722,88.834917,block_54_177,1
sample_591,27.376222,88.799667,block_54_177,1
sample_592,27.3145,88.8365,block_54_177,1
sample_593,27.292583,88.820417,block_54_177,1
sample_594,27.288667,88.816111,block_54_177,1
sample_595,27.279972,88.804278,block_54_177,1
sample_596,27.264694,88.792667,block_54_177,1
sample_597,27.2615,88.788778,block_54_177,1
sample_598,27.253528,88.786111,block_54_177,1
sample_599,27.17925,88.65875,block_54_177,1
sample_600,27.198928,88.66095,block_54_177,1
sample_601,27.201278,88.665381,block_54_177,1
sample_602,27.205047,88.689053,block_54_177,1
sample_603,27.22075,88.699833,block_54_177,1
